time,open,high,low,close,tick_volume
2011-06-27,16.45,18.0,15.0,16.75,31452
2011-06-28,16.75,17.52,16.5,16.95,24398
2011-06-29,16.95,17.2,16.67,16.84,21043
2011-06-30,16.85,17.01,15.73,16.11,34961
2011-07-01,16.1,16.74,15.26,15.4,33284
2011-07-04,15.44,15.49,13.14,13.86,52276
2011-07-05,13.86,15.0,11.0,12.91,84081
2011-07-06,12.91,16.5,12.67,14.79,111818
2011-07-07,14.78,15.9,14.5,14.77,54465
2011-07-08,14.78,15.65,13.9,14.32,34853
2011-07-11,14.9,15.2,13.8,14.21,49160
2011-07-12,14.21,14.64,13.9,14.01,26356
2011-07-13,14.03,14.15,13.91,13.95,10338
2011-07-14,13.95,14.07,13.7,13.99,17661
2011-07-15,14.0,14.09,13.5,13.81,24819
2011-07-18,13.16,13.92,12.51,13.48,75896
2011-07-19,13.48,14.7,13.44,13.85,67575
2011-07-20,13.85,14.0,13.4,13.69,23177
2011-07-21,13.72,13.78,13.4,13.61,25018
2011-07-22,13.61,13.81,13.45,13.7,15165
2011-07-25,13.98,14.72,13.76,14.05,31577
2011-07-26,14.03,14.05,13.77,13.88,16793
2011-07-27,13.88,14.13,13.85,13.94,11508
2011-07-28,13.89,13.94,13.31,13.49,32738
2011-07-29,13.49,13.7,13.33,13.5,7257
2011-08-01,13.35,13.55,12.85,13.09,21748
2011-08-02,13.1,13.11,11.5,12.05,57242
2011-08-03,12.05,12.16,8.7,9.26,90287
2011-08-04,9.26,11.15,9.26,10.75,50094
2011-08-05,10.71,10.99,9.5,9.8,30765
2011-08-08,7.9,8.16,7.05,7.8,34042
2011-08-09,7.8,12.1,7.67,9.99,114472
2011-08-10,9.99,10.4,9.5,9.98,24254
2011-08-11,9.98,10.5,8.45,9.46,58114
2011-08-12,9.46,9.8,8.91,9.46,41592
2011-08-15,10.8,11.89,10.73,11.15,38155
2011-08-16,11.16,11.33,10.82,10.97,15325
2011-08-17,10.96,11.1,10.66,10.94,22898
2011-08-18,10.98,11.05,10.81,10.83,8210
2011-08-19,10.83,11.81,10.83,11.65,33721
2011-08-22,11.31,11.5,10.51,10.89,36996
2011-08-23,10.91,11.3,10.81,10.94,12780
2011-08-24,10.94,11.08,10.83,10.85,7815
2011-08-25,10.85,10.89,9.1,9.66,55485
2011-08-26,9.66,9.89,7.64,8.18,83004
2011-08-29,9.07,9.27,8.65,8.97,21651
2011-08-30,8.97,9.0,8.55,8.79,11773
2011-08-31,8.79,8.79,8.01,8.2,19648
2011-09-01,8.2,8.36,8.1,8.21,11903
2011-09-02,8.25,8.71,8.23,8.64,16814
2011-09-05,8.18,8.19,7.25,7.61,30798
2011-09-06,7.61,7.66,6.12,6.86,82496
2011-09-07,6.86,7.6,6.53,7.18,49642
2011-09-08,7.2,7.2,6.51,6.53,31886
2011-09-09,6.53,6.58,4.18,5.03,217433
2011-09-12,5.9399999999999995,6.58,5.41,6.08,63864
2011-09-13,6.08,6.09,5.7,5.8,23759
2011-09-14,5.8,5.85,5.32,5.62,43768
2011-09-15,5.62,5.62,4.44,4.84,86220
2011-09-16,4.84,4.99,4.61,4.82,31651
2011-09-19,5.2,5.64,4.9,5.46,49836
2011-09-20,5.46,6.79,5.45,6.11,116750
2011-09-21,6.11,6.29,5.06,5.61,68164
2011-09-22,5.61,5.83,5.29,5.43,31651
2011-09-23,5.43,5.71,5.41,5.55,55667
2011-09-26,5.33,5.4,4.72,4.87,56072
2011-09-27,4.87,5.13,4.78,4.92,24645
2011-09-28,4.92,4.97,4.63,4.78,30625
2011-09-29,4.77,4.8,4.67,4.78,14092
2011-09-30,4.76,5.35,4.75,5.14,41459
2011-10-03,5.03,5.04,4.89,5.03,17289
2011-10-04,5.02,5.02,4.91,4.96,15793
2011-10-05,4.96,5.03,4.83,4.87,17586
2011-10-06,4.87,4.9,4.5,4.73,54773
2011-10-07,4.75,4.8,3.7800000000000002,4.28,97547
2011-10-10,4.1,4.2,4.01,4.1,16858
2011-10-11,4.1,4.1,3.85,3.93,41104
2011-10-12,3.93,4.45,3.9,4.15,69399
2011-10-13,4.16,4.2,4.0,4.05,19706
2011-10-14,4.06,4.12,3.95,3.99,20054
2011-10-17,3.56,3.74,2.26,2.56,207426
2011-10-18,2.54,2.9,2.31,2.42,87859
2011-10-19,2.42,2.54,2.04,2.27,101864
2011-10-20,2.27,2.39,2.22,2.35,48859
2011-10-21,2.35,2.7199999999999998,2.33,2.57,72971
2011-10-24,3.13,3.2,2.48,2.55,92232
2011-10-25,2.52,3.04,2.44,2.77,101412
2011-10-26,2.77,2.85,2.65,2.77,29400
2011-10-27,2.77,3.09,2.73,3.04,58696
2011-10-28,3.04,3.26,2.9,3.19,52365
2011-10-31,3.27,3.32,3.07,3.25,30980
2011-11-01,3.26,3.35,3.07,3.15,37893
2011-11-02,3.15,3.44,3.14,3.25,32311
2011-11-03,3.25,3.2800000000000002,3.1,3.15,24520
2011-11-04,3.17,3.21,3.01,3.11,39513
2011-11-07,2.96,3.03,2.95,3.01,23992
2011-11-08,3.01,3.21,3.01,3.04,60336
2011-11-09,3.04,3.12,2.89,2.95,52195
2011-11-10,2.95,2.9699999999999998,2.8,2.84,33928
2011-11-11,2.84,3.11,2.82,3.08,44853
2011-11-14,3.0,3.0,2.1,2.22,382186
2011-11-15,2.22,2.49,2.11,2.33,76420
2011-11-16,2.33,2.6,2.3,2.56,44208
2011-11-17,2.56,2.59,1.99,2.25,117276
2011-11-18,2.25,2.39,2.0,2.05,98135
2011-11-21,2.2,2.31,2.17,2.29,41727
2011-11-22,2.29,2.35,2.25,2.33,34208
2011-11-23,2.33,2.38,2.27,2.33,39998
2011-11-24,2.33,2.56,2.3,2.43,87264
2011-11-25,2.43,2.5300000000000002,2.37,2.5,44404
2011-11-28,2.48,2.55,2.44,2.55,41261
2011-11-29,2.55,2.98,2.54,2.75,180531
2011-11-30,2.75,3.09,2.73,2.9699999999999998,120145
2011-12-01,2.9699999999999998,3.14,2.93,3.06,63864
2011-12-02,3.06,3.14,3.04,3.12,57494
2011-12-05,2.83,2.93,2.7800000000000002,2.88,30884
2011-12-06,2.88,3.05,2.87,3.03,55599
2011-12-07,3.03,3.09,2.93,2.99,58122
2011-12-08,2.99,3.01,2.88,2.98,39933
2011-12-09,2.98,3.04,2.93,2.9699999999999998,34385
2011-12-12,3.25,3.29,3.08,3.13,39899
2011-12-13,3.17,3.25,3.14,3.25,32658
2011-12-14,3.25,3.25,2.99,3.15,72477
2011-12-15,3.15,3.21,3.11,3.2,30094
2011-12-16,3.2,3.22,3.15,3.2,29868
2011-12-19,3.19,3.7,3.19,3.52,139986
2011-12-20,3.52,4.5,3.48,3.95,186409
2011-12-21,3.92,4.04,3.81,3.89,48793
2011-12-22,3.89,3.99,3.51,3.89,57206
2011-12-23,3.89,3.95,3.81,3.95,20496
2011-12-26,4.23,4.32,3.81,4.02,88825
2011-12-27,4.02,4.1,3.96,4.07,30159
2011-12-28,4.07,4.25,3.99,4.19,33837
2011-12-29,4.19,4.33,4.12,4.17,53069
2011-12-30,4.17,4.3,4.07,4.25,41068
2012-01-02,5.26,5.47,4.8,5.21,69150
2012-01-03,5.22,5.29,4.65,4.88,125170
2012-01-04,4.88,5.7,4.75,5.57,131170
2012-01-05,5.57,7.22,5.57,6.9399999999999995,182328
2012-01-06,6.95,7.21,6.13,6.7,218077
2012-01-09,7.11,7.19,5.8100000000000005,6.32,148406
2012-01-10,6.33,6.89,6.0,6.36,110210
2012-01-11,6.45,7.14,6.41,6.9,99442
2012-01-12,6.9,7.0,6.34,6.8,140116
2012-01-13,6.8,6.8,6.4,6.41,60228
2012-01-16,7.0,7.19,6.51,6.68,122666
2012-01-17,6.68,6.96,4.64,5.6,213409
2012-01-18,5.6,6.95,5.1,5.92,226680
2012-01-19,5.92,6.36,5.87,6.36,114820
2012-01-20,6.36,6.58,6.26,6.49,66786
2012-01-23,6.31,6.39,6.21,6.36,17693
2012-01-24,6.36,6.4,6.22,6.29,35663
2012-01-25,6.29,6.32,5.5,5.75,133115
2012-01-26,5.8,5.92,5.3,5.34,123954
2012-01-27,5.34,5.51,5.05,5.29,115567
2012-01-30,5.38,5.6,5.37,5.49,42303
2012-01-31,5.49,5.65,5.43,5.48,48296
2012-02-01,5.53,6.2,5.46,6.07,115523
2012-02-02,6.07,6.2,5.82,6.1,54546
2012-02-03,6.1,6.14,5.72,5.96,59279
2012-02-06,5.6899999999999995,5.72,5.45,5.45,90258
2012-02-07,5.48,5.78,5.45,5.6899999999999995,72748
2012-02-08,5.6899999999999995,5.85,5.3,5.6,237943
2012-02-09,5.6,5.92,5.5,5.83,89946
2012-02-10,5.83,5.99,5.8,5.91,39304
2012-02-13,5.52,5.73,5.2,5.26,170208
2012-02-14,5.26,5.45,4.21,4.46,297569
2012-02-15,4.46,4.88,4.2,4.32,161797
2012-02-16,4.33,4.45,3.88,4.28,166592
2012-02-17,4.27,4.77,4.22,4.41,135948
2012-02-20,4.39,4.47,4.29,4.36,37296
2012-02-21,4.38,4.4,4.21,4.27,51786
2012-02-22,4.27,4.54,4.27,4.42,103834
2012-02-23,4.46,5.2,4.42,5.02,164305
2012-02-24,5.02,5.11,4.83,5.03,89825
2012-02-27,4.92,4.99,4.89,4.95,29368
2012-02-28,4.95,5.0,4.73,4.87,62688
2012-02-29,4.87,4.9,4.8,4.86,26536
2012-03-01,4.86,4.99,4.86,4.92,44180
2012-03-02,4.92,4.95,4.51,4.7,130761
2012-03-05,4.82,5.05,4.82,4.98,65826
2012-03-06,4.98,5.07,4.9,4.99,44530
2012-03-07,4.99,5.05,4.84,4.9399999999999995,46164
2012-03-08,4.9399999999999995,5.0,4.76,4.93,58086
2012-03-09,4.93,4.95,4.82,4.86,32720
2012-03-12,4.91,4.95,4.86,4.89,22046
2012-03-13,4.89,5.41,4.86,5.27,127322
2012-03-14,5.27,5.45,5.25,5.38,62886
2012-03-15,5.39,5.44,5.25,5.32,41075
2012-03-16,5.35,5.4,5.3,5.35,32715
2012-03-19,5.26,5.32,4.5,4.7,188885
2012-03-20,4.6899999999999995,4.9,4.58,4.83,66341
2012-03-21,4.84,4.87,4.75,4.82,46433
2012-03-22,4.79,4.88,4.59,4.7,58066
2012-03-23,4.74,4.79,4.6,4.6899999999999995,54128
2012-03-26,4.55,4.74,4.52,4.62,69834
2012-03-27,4.62,4.85,4.49,4.8100000000000005,73429
2012-03-28,4.8100000000000005,4.84,4.72,4.79,38014
2012-03-29,4.79,4.86,4.71,4.8100000000000005,37972
2012-03-30,4.8100000000000005,4.88,4.72,4.86,39069
2012-04-02,4.83,5.08,4.76,4.98,80661
2012-04-03,4.97,4.99,4.8100000000000005,4.95,78479
2012-04-04,4.95,4.97,4.89,4.91,51038
2012-04-05,4.93,4.9399999999999995,4.87,4.92,33804
2012-04-06,4.92,4.98,4.88,4.95,58208
2012-04-09,4.79,4.88,4.73,4.87,39240
2012-04-10,4.87,4.9,4.76,4.83,53099
2012-04-11,4.84,4.98,4.79,4.93,67033
2012-04-12,4.93,4.95,4.84,4.92,46365
2012-04-13,4.92,4.95,4.73,4.9399999999999995,93109
2012-04-16,4.97,4.98,4.91,4.93,31156
2012-04-17,4.96,5.02,4.93,4.98,30643
2012-04-18,4.98,5.18,4.96,5.12,79127
2012-04-19,5.12,5.19,5.1,5.14,46672
2012-04-20,5.14,5.48,5.1,5.35,104067
2012-04-23,5.2,5.21,4.96,4.96,49365
2012-04-24,4.96,5.2,4.95,5.1,70986
2012-04-25,5.1,5.18,5.04,5.13,35639
2012-04-26,5.13,5.17,4.99,5.09,57358
2012-04-27,5.1,5.13,5.03,5.11,25866
2012-04-30,4.9,5.0,4.87,4.95,55764
2012-05-01,4.95,5.0,4.92,5.0,36677
2012-05-02,5.0,5.18,4.97,5.07,95961
2012-05-03,5.07,5.18,5.02,5.13,35419
2012-05-04,5.11,5.15,5.07,5.07,43625
2012-05-07,5.05,5.1,4.97,5.06,46180
2012-05-08,5.06,5.1,4.96,5.05,68200
2012-05-09,5.05,5.1,5.0,5.04,38918
2012-05-10,5.04,5.12,4.8,4.85,69980
2012-05-11,4.85,5.0,4.8,4.96,63127
2012-05-14,4.93,5.04,4.9,5.01,52843
2012-05-15,5.02,5.04,4.95,5.03,44142
2012-05-16,5.04,5.14,5.0,5.09,69367
2012-05-17,5.09,5.1,5.05,5.1,26620
2012-05-18,5.1,5.13,5.06,5.12,52576
2012-05-21,5.1,5.13,5.06,5.1,33620
2012-05-22,5.1,5.12,5.05,5.1,46678
2012-05-23,5.1,5.17,5.07,5.14,52956
2012-05-24,5.14,5.15,5.07,5.12,28915
2012-05-25,5.12,5.15,5.1,5.15,23072
2012-05-28,5.14,5.16,5.11,5.14,27557
2012-05-29,5.14,5.16,5.01,5.15,61265
2012-05-30,5.15,5.17,5.1,5.13,39941
2012-05-31,5.14,5.21,5.12,5.19,39473
2012-06-01,5.2,5.28,5.18,5.28,44686
2012-06-04,5.21,5.28,5.18,5.27,51237
2012-06-05,5.27,5.5,5.23,5.44,83930
2012-06-06,5.45,5.49,5.39,5.46,40675
2012-06-07,5.46,5.59,5.41,5.59,48064
2012-06-08,5.59,5.66,5.5600000000000005,5.63,53838
2012-06-11,5.47,5.6,5.43,5.58,40261
2012-06-12,5.6,5.76,5.5,5.71,78979
2012-06-13,5.73,5.96,5.66,5.93,57236
2012-06-14,5.93,5.98,5.8100000000000005,5.96,35037
2012-06-15,5.95,6.58,5.88,6.5,65635
2012-06-18,6.16,6.36,6.03,6.31,46830
2012-06-19,6.31,6.53,6.28,6.5,43881
2012-06-20,6.5,6.71,6.45,6.67,64066
2012-06-21,6.67,6.8,6.5600000000000005,6.68,51940
2012-06-22,6.68,6.8,6.43,6.55,56821
2012-06-25,6.35,6.45,6.22,6.3,62636
2012-06-26,6.31,6.48,6.29,6.42,48733
2012-06-27,6.42,6.65,6.4,6.65,41977
2012-06-28,6.65,6.67,6.49,6.61,42815
2012-06-29,6.61,6.68,6.55,6.65,26297
2012-07-02,6.6,6.77,6.58,6.76,32361
2012-07-03,6.76,6.76,6.4,6.45,71065
2012-07-04,6.45,6.55,6.45,6.51,33476
2012-07-05,6.51,6.77,6.48,6.67,45341
2012-07-06,6.67,6.72,6.55,6.65,43188
2012-07-09,6.8,7.1,6.74,7.02,61641
2012-07-10,7.02,7.25,6.96,7.2,70062
2012-07-11,7.2,7.26,7.02,7.15,41888
2012-07-12,7.17,7.9,7.1,7.76,64613
2012-07-13,7.6899999999999995,7.82,7.42,7.67,65462
2012-07-16,7.62,8.65,7.61,8.5,103396
2012-07-17,8.5,9.49,7.32,8.8,210802
2012-07-18,8.8,9.4,8.5,9.11,105943
2012-07-19,9.11,9.23,8.82,8.87,48246
2012-07-20,8.87,8.87,7.6,8.52,154658
2012-07-23,8.41,9.2,7.75,8.45,146393
2012-07-24,8.45,8.85,8.34,8.6,40944
2012-07-25,8.55,8.9,8.37,8.8,64719
2012-07-26,8.8,8.9,8.6,8.9,32377
2012-07-27,8.9,8.95,8.81,8.9,26671
2012-07-30,8.71,9.15,8.7,9.1,56303
2012-07-31,9.08,9.44,9.08,9.35,70171
2012-08-01,9.35,9.65,9.11,9.55,68693
2012-08-02,9.55,11.0,9.41,10.53,126682
2012-08-03,10.53,11.12,10.3,10.97,61639
2012-08-06,10.87,11.19,10.64,10.86,51636
2012-08-07,10.91,11.1,10.65,11.1,41651
2012-08-08,11.1,11.15,10.85,11.05,31319
2012-08-09,11.06,12.01,10.8,11.07,101876
2012-08-10,11.06,11.6,11.01,11.39,63594
2012-08-13,11.62,12.05,11.49,12.03,54033
2012-08-14,12.04,12.34,11.9,12.19,44011
2012-08-15,12.19,13.25,12.16,13.25,57560
2012-08-16,13.25,13.84,12.5,13.5,96601
2012-08-17,13.5,15.4,10.6,11.58,221031
2012-08-20,8.0,10.5,7.8100000000000005,10.1,192499
2012-08-21,10.1,10.3,9.7,9.91,72079
2012-08-22,9.92,10.11,9.58,9.81,67511
2012-08-23,9.72,10.25,9.7,10.1,56013
2012-08-24,10.1,10.62,9.85,10.6,92073
2012-08-27,10.59,12.15,10.54,10.95,175113
2012-08-28,10.95,11.21,10.5,10.94,54873
2012-08-29,10.94,11.13,10.55,10.92,53645
2012-08-30,10.92,10.94,10.6,10.78,30866
2012-08-31,10.78,10.83,9.66,10.16,67789
2012-09-03,10.21,10.59,10.09,10.53,22923
2012-09-04,10.53,10.53,10.15,10.38,34876
2012-09-05,10.39,11.18,10.27,11.01,60765
2012-09-06,11.0,11.29,10.64,11.18,67049
2012-09-07,11.2,11.21,10.96,11.0,35532
2012-09-10,11.02,11.19,10.87,11.17,42287
2012-09-11,11.15,11.35,10.88,11.33,64951
2012-09-12,11.33,11.39,10.78,11.36,58624
2012-09-13,11.23,11.4,11.22,11.4,20571
2012-09-14,11.4,11.8,11.32,11.67,43256
2012-09-17,11.87,11.96,11.76,11.89,26609
2012-09-18,11.89,12.35,11.84,12.25,40946
2012-09-19,12.25,12.69,12.15,12.57,41880
2012-09-20,12.57,12.66,12.25,12.28,32563
2012-09-21,12.28,12.5,12.01,12.37,35832
2012-09-24,12.19,12.3,11.95,12.1,27289
2012-09-25,12.1,12.23,12.01,12.2,21225
2012-09-26,12.2,12.46,12.02,12.27,23492
2012-09-27,12.27,12.4,12.21,12.31,19324
2012-09-28,12.31,12.45,12.12,12.39,26673
2012-10-01,12.35,12.48,12.32,12.4,24823
2012-10-02,12.4,12.88,12.34,12.84,50830
2012-10-03,12.84,12.99,12.68,12.89,32953
2012-10-04,12.88,13.09,12.6,12.85,37943
2012-10-05,12.8,12.97,12.51,12.69,31256
2012-10-08,11.8,11.95,10.62,11.78,97936
2012-10-09,11.74,12.35,11.57,11.9,46766
2012-10-10,11.9,12.2,11.77,12.13,27719
2012-10-11,12.12,12.15,11.86,12.03,19828
2012-10-12,12.03,12.15,11.92,12.0,21537
2012-10-15,11.58,11.99,11.43,11.84,27099
2012-10-16,11.84,11.99,11.5,11.85,41183
2012-10-17,11.85,11.96,11.7,11.81,23550
2012-10-18,11.81,11.96,11.75,11.94,21878
2012-10-19,11.94,11.97,11.62,11.75,23176
2012-10-22,11.63,11.81,11.47,11.71,37619
2012-10-23,11.71,12.0,11.41,11.65,54341
2012-10-24,11.65,11.79,11.59,11.65,21761
2012-10-25,11.65,11.7,10.52,10.86,84701
2012-10-26,10.85,10.95,9.74,10.17,98991
2012-10-29,10.7,10.94,10.32,10.6,37572
2012-10-30,10.59,10.89,10.58,10.89,26021
2012-10-31,10.89,11.21,10.71,11.2,40670
2012-11-01,11.2,11.28,10.4,10.57,50360
2012-11-02,10.57,10.8,10.33,10.47,24483
2012-11-05,10.8,10.88,10.61,10.75,21774
2012-11-06,10.75,10.9,10.67,10.9,26993
2012-11-07,10.9,11.22,10.8,10.92,31731
2012-11-08,10.92,11.07,10.75,10.93,26056
2012-11-09,10.93,10.99,10.79,10.82,14724
2012-11-12,10.87,11.18,10.77,11.01,39214
2012-11-13,11.01,11.13,10.92,10.95,16755
2012-11-14,11.0,11.05,10.82,10.95,24540
2012-11-15,10.99,11.3,10.86,11.2,31897
2012-11-16,11.2,11.8,11.17,11.75,58250
2012-11-19,11.67,11.85,11.6,11.81,25194
2012-11-20,11.8,11.8,11.57,11.73,27217
2012-11-21,11.7,11.78,11.64,11.77,19224
2012-11-22,11.75,12.43,11.67,12.42,58299
2012-11-23,12.42,12.42,12.13,12.34,18966
2012-11-26,12.48,12.65,11.89,12.24,35911
2012-11-27,12.25,12.34,11.9,12.2,33191
2012-11-28,12.2,12.41,12.1,12.35,30684
2012-11-29,12.35,12.6,12.15,12.45,26502
2012-11-30,12.45,12.65,12.42,12.57,24347
2012-12-03,12.5,12.68,12.47,12.68,47146
2012-12-04,12.65,13.5,12.62,13.41,63243
2012-12-05,13.41,13.42,13.15,13.38,29791
2012-12-06,13.3,13.69,12.9,13.3,46561
2012-12-07,13.3,13.55,12.98,13.5,32796
2012-12-10,13.39,13.55,13.27,13.44,24663
2012-12-11,13.5,13.67,13.3,13.56,28043
2012-12-12,13.56,13.8,13.3,13.7,37676
2012-12-13,13.7,13.8,13.47,13.7,24194
2012-12-14,13.71,13.91,13.0,13.6,70141
2012-12-17,13.3,13.49,12.75,13.25,63629
2012-12-18,13.25,13.4,13.11,13.3,23218
2012-12-19,13.3,13.6,13.2,13.6,38805
2012-12-20,13.6,13.72,13.33,13.53,32977
2012-12-21,13.53,13.61,13.42,13.5,25328
2012-12-24,13.31,13.45,13.21,13.38,16702
2012-12-25,13.38,13.43,13.14,13.35,19958
2012-12-26,13.35,13.47,13.2,13.47,15839
2012-12-27,13.46,13.47,13.25,13.42,19819
2012-12-28,13.44,13.65,13.34,13.42,23810
2012-12-31,13.45,13.56,13.37,13.51,16047
2013-01-01,13.51,13.56,13.16,13.3,30882
2013-01-02,13.36,13.4,13.17,13.28,17966
2013-01-03,13.28,13.46,13.25,13.4,18606
2013-01-04,13.43,13.52,13.28,13.5,29639
2013-01-07,13.45,13.59,13.4,13.58,34940
2013-01-08,13.55,13.88,13.5,13.74,42795
2013-01-09,13.74,13.86,13.62,13.77,28603
2013-01-10,13.77,14.32,13.77,14.14,51808
2013-01-11,14.13,14.35,13.91,14.14,40430
2013-01-14,14.19,14.35,14.11,14.3,22094
2013-01-15,14.35,14.48,13.99,14.25,51570
2013-01-16,14.3,14.73,14.21,14.73,45534
2013-01-17,14.73,15.7,14.63,15.5,65486
2013-01-18,15.5,15.99,15.41,15.71,56094
2013-01-21,15.7,16.98,15.63,16.8,61499
2013-01-22,16.8,17.59,16.65,17.26,60973
2013-01-23,17.26,17.59,16.8,17.5,49436
2013-01-24,17.53,19.19,15.61,16.9,172016
2013-01-25,16.9,17.8,15.39,17.4,98773
2013-01-28,17.82,18.88,17.75,18.72,73703
2013-01-29,18.72,19.8,18.7,19.52,107617
2013-01-30,19.53,19.8,19.15,19.71,105246
2013-01-31,19.7,21.43,19.51,20.41,104198
2013-02-01,20.51,21.13,20.3,20.5,58381
2013-02-04,20.6,21.05,19.85,20.43,90466
2013-02-05,20.43,20.79,20.2,20.6,134267
2013-02-06,20.66,21.33,20.6,21.18,153011
2013-02-07,21.11,22.22,20.77,22.15,202127
2013-02-08,22.15,22.77,22.0,22.66,50649
2013-02-11,23.97,24.68,23.65,24.65,125986
2013-02-12,24.65,25.83,24.3,25.17,101909
2013-02-13,25.19,26.3,24.19,24.2,144964
2013-02-14,24.2,27.6,21.72,27.22,160132
2013-02-15,27.25,27.51,26.1,27.1,104017
2013-02-18,26.9,27.15,26.36,26.95,82398
2013-02-19,26.95,29.65,26.8,29.42,174574
2013-02-20,29.42,29.87,28.99,29.65,112566
2013-02-21,29.65,29.98,29.32,29.75,108040
2013-02-22,29.75,31.3,29.67,30.25,108728
2013-02-25,29.89,30.4,29.55,30.4,76738
2013-02-26,30.4,31.7,30.12,31.1,68492
2013-02-27,31.2,31.65,30.79,30.9,88555
2013-02-28,31.26,34.52,30.9,33.38,126515
2013-03-01,33.38,34.9,32.92,34.5,51080
2013-03-04,34.5,36.7,34.19,36.15,107716
2013-03-05,36.15,40.64,36.15,40.33,85415
2013-03-06,40.23,49.1,40.14,41.02,126441
2013-03-07,41.02,45.5,33.3,42.0,157308
2013-03-08,42.0,44.5,41.02,44.18,119865
2013-03-11,46.0,48.47,45.54,48.4,131288
2013-03-12,48.4,48.4,36.65,44.29,183405
2013-03-13,44.33,47.3,43.75,46.92,56332
2013-03-14,46.92,47.99,46.05,47.17,141819
2013-03-15,47.03,47.45,46.4,46.95,74096
2013-03-18,47.4,52.88,47.12,51.6,167883
2013-03-19,51.6,62.0,50.0,59.14,142544
2013-03-20,59.14,66.0,57.7,64.49,120119
2013-03-21,64.49,74.9,63.1,70.85,143797
2013-03-22,70.84,73.75,65.0,69.86,76150
2013-03-25,71.5,78.0,69.52,73.6,80820
2013-03-26,73.6,79.72,73.11,78.5,263125
2013-03-27,78.75,89.5,78.4,88.92,72172
2013-03-28,88.8,95.7,75.0,86.18,140215
2013-03-29,86.18,93.06,83.01,90.5,83140
2013-04-01,93.03,106.0,92.24,104.0,156705
2013-04-02,104.0,118.36,99.0,117.98,2324939
2013-04-03,118.0,147.0,110.0,135.0,5334934
2013-04-04,135.0,142.12,116.39,132.12,4633821
2013-04-05,132.8,144.94,130.24,142.32,5875719
2013-04-08,162.3,194.9,162.3,187.5,3938818
